NAME	Neuroendocrine.cells	NK.cells	T.cells	Myeloid.cells	B.cells	Fibroblasts	Stromal.other.cells	RBCs.cells	Schwann.cells	Plasma.cells	pDC.cells	Endothelial.cells
DDX1	12.8411165196228	0.0573394495412844	0.106035889070147	0.0992572586090479	0.150823827629911	1.48595505617978	0.0735294117647059	2.55	0.266666666666667	0.0869565217391304	0.102564102564103	0.82962962962963
STMN2	17.288979312443	0.19954128440367	0.255301794453507	0.430114787305874	0.185044359949303	0.415730337078652	0.117647058823529	4.15	0.933333333333333	0.478260869565217	0.243589743589744	0.925925925925926
TUBB2B	11.9877167630058	0.169724770642202	0.194331158238173	0.267386900742741	0.172370088719899	0.412921348314607	0.102941176470588	2.45	1.07619047619048	0.260869565217391	0.102564102564103	0.503703703703704
PHOX2A	3.94683602068756	0.0389908256880734	0.0505709624796085	0.0857528696826469	0.0443599493029151	0.219101123595506	0.0147058823529412	0.3	0.0857142857142857	0.0869565217391304	0.0897435897435897	0.251851851851852
TUBA1A	17.39298752662	0.376146788990826	0.419453507340946	0.776502363268062	0.406844106463878	1.74719101123595	0.235294117647059	2.08333333333333	6.04761904761905	0.217391304347826	0.153846153846154	2.08888888888889
MEG3	10.1698737450563	0.194954128440367	0.230016313213703	0.403106009453072	0.168567807351077	1.62359550561798	0.294117647058824	3.15	1.60952380952381	0.217391304347826	0.205128205128205	1.13333333333333
ELAVL4	3.50361271676301	0.0275229357798165	0.0530179445350734	0.0931802835921675	0.0506970849176172	0.188202247191011	0.0588235294117647	0.516666666666667	0.133333333333333	0	0.0641025641025641	0.192592592592593
UCHL1	4.8871311226042	0.0779816513761468	0.0993066884176183	0.206617150573937	0.0747782002534854	0.365168539325843	0.0588235294117647	0.7	0.466666666666667	0.130434782608696	0.0512820512820513	0.437037037037037
PCSK1N	4.31601764526924	0.0894495412844037	0.0899265905383361	0.158676569885213	0.0608365019011407	0.160112359550562	0.338235294117647	1.16666666666667	0.39047619047619	0	0.0512820512820513	0.525925925925926
MYCN	2.21775174931549	0.00458715596330275	0.00734094616639478	0.0303848750844024	0.0215462610899873	0.0674157303370786	0.0735294117647059	0.0833333333333333	0.019047619047619	0	0.0128205128205128	0.0444444444444444
EEF1A2	2.77121995740797	0.0389908256880734	0.0365008156606852	0.0654962862930452	0.0304182509505703	0.0533707865168539	0.0147058823529412	0.25	0.0952380952380952	0	0.0256410256410256	0.185185185185185
NPY	8.09062214785519	0.142201834862385	0.251019575856444	0.37204591492235	0.330798479087452	0.48314606741573	0.102941176470588	3.31666666666667	1.01904761904762	0.695652173913043	0.141025641025641	0.622222222222222
MAP1B	5.39507909948281	0.0779816513761468	0.0742251223491028	0.170155300472654	0.073510773130545	1.31460674157303	0.0882352941176471	1.2	1.41904761904762	0.130434782608696	0.0384615384615385	1.31111111111111
PRPH	3.25228171585032	0.0527522935779817	0.067699836867863	0.0958811613774477	0.0367553865652725	0.0730337078651685	0.0588235294117647	0.516666666666667	0.0857142857142857	0.0434782608695652	0.0769230769230769	0.266666666666667
MLLT11	4.58050654091877	0.11697247706422	0.147022838499184	0.173531397704254	0.0861850443599493	0.308988764044944	0.0441176470588235	1.68333333333333	0.276190476190476	0.130434782608696	0.102564102564103	0.214814814814815
BEX1	3.04304837237603	0.0389908256880734	0.0483278955954323	0.103308575286968	0.073510773130545	0.137640449438202	0.0588235294117647	1.38333333333333	0.533333333333333	0.0869565217391304	0.0256410256410256	0.192592592592593
PHOX2B	2.20242622452084	0.0275229357798165	0.0273246329526917	0.049966239027684	0.0228136882129278	0.0842696629213483	0.0147058823529412	0.516666666666667	0.0476190476190476	0	0.0256410256410256	0.118518518518519
GAP43	2.79335260115607	0.0344036697247706	0.067699836867863	0.106009453072248	0.0506970849176172	0.0898876404494382	0.0441176470588235	0.783333333333333	0.39047619047619	0.0434782608695652	0.0897435897435897	0.111111111111111
STMN4	2.73197444478248	0.0596330275229358	0.0630097879282219	0.116812964213369	0.0329531051964512	0.109550561797753	0.0441176470588235	0.666666666666667	0.238095238095238	0.0434782608695652	0.0769230769230769	0.148148148148148
CD24	3.3792592029206	0.0871559633027523	0.0642332789559543	0.106684672518569	0.484157160963245	0.148876404494382	0.147058823529412	0.8	0.0761904761904762	0.0869565217391304	0.0641025641025641	0.140740740740741
CKB	3.09259963492546	0.0688073394495413	0.0650489396411093	0.146522619851452	0.0760456273764259	0.205056179775281	0.176470588235294	0.266666666666667	1.01904761904762	0.130434782608696	0.115384615384615	0.288888888888889
RTN1	4.85735473075753	0.0848623853211009	0.119698205546493	0.667116812964213	0.0785804816223067	0.421348314606742	0.0294117647058824	1.1	0.342857142857143	0.347826086956522	0.0769230769230769	0.451851851851852
HAND2	2.05449498022513	0.0389908256880734	0.0358890701468189	0.0614449696151249	0.026615969581749	0.101123595505618	0.0294117647058824	0.4	0.114285714285714	0.0869565217391304	0.0897435897435897	0.0888888888888889
CCND1	4.54635686035899	0.0711009174311927	0.0978792822185971	0.243754220121539	0.119138149556401	1.05056179775281	0.132352941176471	1.55	1.57142857142857	0.0434782608695652	0.0769230769230769	1.97037037037037
DBH	2.43508518405841	0.0275229357798165	0.0831973898858075	0.0972316002700878	0.0367553865652725	0.0617977528089888	0	0.316666666666667	0.114285714285714	0	0.0769230769230769	0.118518518518519
SYT1	2.0221706723456	0.0137614678899083	0.0277324632952692	0.087103308575287	0.0570342205323194	0.112359550561798	0.0735294117647059	0.383333333333333	0.171428571428571	0.0434782608695652	0	0.214814814814815
HAND2-AS1	1.99471402494676	0.0344036697247706	0.0338499184339315	0.0864280891289669	0.0316856780735108	0.0926966292134832	0.0441176470588235	0.383333333333333	0.133333333333333	0	0.0128205128205128	0.0666666666666667
BASP1	5.26890021296015	0.0963302752293578	0.0658646003262643	0.989196488858879	0.376425855513308	0.356741573033708	0.0882352941176471	1.08333333333333	0.180952380952381	0.695652173913043	0.102564102564103	0.296296296296296
CHGB	2.13910860967448	0.0298165137614679	0.0564845024469821	0.0965563808237677	0.0430925221799747	0.0842696629213483	0.0588235294117647	0.133333333333333	0.0761904761904762	0.0434782608695652	0.0384615384615385	0.0962962962962963
