NAME	Neuroendocrine.cells	NK.cells	T.cells	Myeloid.cells	B.cells	Fibroblasts	Stromal.other.cells	RBCs.cells	Schwann.cells	Plasma.cells	pDC.cells	Endothelial.cells
CICP27	0.046771823445507	0	0	0	0	0	0	0	0	0	0	0
MTND1P23	5.21839915870586	0.0200450671909316	0.180405604718384	0.0668168906364386	0.0334084453182193	0.0267267562545755	0	0	0.00668168906364386	0	0	0.0200450671909316
MTND2P28	0.167042226591097	0	0	0	0	0.00668168906364386	0	0	0	0	0	0
MTATP6P1	73.338219162555	0.220495739100247	3.2138924396127	2.39872637384815	0.240540806291179	0.79512099857362	0.0133633781272877	0.0400901343818632	0.187087293782028	0.00668168906364386	0.0534535125091509	0.420946411009563
FAM87B	0.0601352015727948	0	0	0.0133633781272877	0	0.00668168906364386	0	0	0	0	0	0
LINC01128	10.0158519064022	0.0133633781272877	0.808484376700908	0.29399431880033	0.0601352015727948	0.046771823445507	0	0.00668168906364386	0.00668168906364386	0	0.0200450671909316	0.113588714081946
LINC00115	3.1069854145944	0.0133633781272877	0.367492898500413	0.140315470336521	0.0400901343818632	0.0200450671909316	0.00668168906364386	0	0.0133633781272877	0	0.00668168906364386	0.0133633781272877
FAM41C	0.247222495354823	0.0133633781272877	0.0734985797000825	0.0400901343818632	0.0534535125091509	0.00668168906364386	0	0	0	0	0	0
SAMD11	31.9852455476632	0.0133633781272877	0.146997159400165	0.0534535125091509	0.00668168906364386	0.113588714081946	0	0.00668168906364386	0	0	0	0.0267267562545755
NOC2L	67.2177919802573	0.260585873482111	4.6304105211052	0.701577351682606	0.561261881346085	0.307357696927618	0.00668168906364386	0.0200450671909316	0.100225335954658	0.0267267562545755	0.0200450671909316	0.12027040314559
KLHL17	11.0982855347125	0.00668168906364386	0.314039385991262	0.100225335954658	0.0334084453182193	0.0334084453182193	0	0	0.00668168906364386	0	0	0.0133633781272877
PLEKHN1	0.360811209436769	0.0133633781272877	0.167042226591097	0.00668168906364386	0.00668168906364386	0	0	0	0	0.00668168906364386	0	0
HES4	67.0975215771117	0.247222495354823	5.09812875556027	6.4745567026709	0.153678848463809	3.29407270837642	0.0200450671909316	0.0400901343818632	0.775075931382688	0	0.581306948537016	1.22943078771047
ISG15	43.6848830981036	3.75510925376785	40.0233174912267	45.4154405655873	4.55023025234147	24.3413932588546	0.0668168906364386	0.0734985797000825	4.34309789136851	0.126952092209233	0.875301267337346	11.9802684911134
