"","SAMd027124354ce","SAMbf1a3ae828e6","SAM2e9ac0b1b250","SAM30b5c6c54cf7","SAMd35318127278","SAM560f23d6a3ad","SAM73663ee4a96e","SAMc2a1820d4e6b","SAMe1eb5d988760","SAM8a1b0e02ee42","SAMd7d57ee3a863","SAM065890737112","SAMb470eb8f04be","SAM203dcf14f927","SAMd3bd67996035","SAMd3601288319e","SAM670649e105b5","SAM3b15b4c6311d","SAMeaa477a5384b","SAM25510f300d79","SAM771445e92421","SAM6f2a102a99df","SAM6ff654a20f98","SAM31d9176e11fb","SAM572f19794c96"
"ABL1",0.168378429654225,0.352166017689727,0.0827693645872686,0.0589355518550354,0.604118547996212,0.404211381259527,0.423612313541127,0.468979887459612,0.164879851809101,-0.176775585541098,0.461836701798047,0.229664922997024,0.469250816007062,-0.0518166447993837,0.228974556179964,0.104346867207446,0.273397194694249,0.898425892718415,0.278427323834715,0.354893106749667,0.458250304194522,0.653564275568285,0.502248055296905,0.461138093904548,0.775483047969807
"AEBP1",-0.132026779544858,0.144548475176751,1.54484438002329,1.44203723015814,1.1512046853616,1.38803745953078,0.536755422392072,0.305483794263157,0.334152121056561,0.184336213162971,1.21846765581671,0.48963289471369,-1.04204454428537,0.642446251734208,0.405557369662152,0.222002635575565,0.744494954222541,0.722318357286065,0.905229462093092,0.750303075614541,-0.56001011520756,0.961628468881609,0.895281806719937,1.51978413096699,0.496573194664189
"AHR",-0.364508829208727,0.866496248622215,-0.0141683444536705,0.131682192871323,0.16636882893196,1.50011981379781,0.041680836177464,0.142379768296356,0.138582173898217,-0.591088588868334,0.088448080957699,-0.139099368630545,1.04005623894339,-0.020309389894789,0.264420222526747,-0.191996582268753,0.391328951817866,0.0551404764772827,0.0601840640872099,0.193865420824398,0.122719294310473,-0.0106058160140231,-0.112515922783672,-0.18687212728697,0.296676066042447
"AHRR",-2.3512246617339,-1.30378849452601,-2.0528680236025,-2.19068093906808,-2.49269024482442,-2.36675787412726,-2.82698118726615,-2.56269555151516,-2.91870517205138,-1.9082731935155,-1.71492942927893,-2.20369384329518,-1.35086912037165,-2.66760537878351,-2.65825529723583,-3.14483640889984,-2.46953327314083,-2.3623653051431,-2.6925500100952,-2.27199191919218,-2.68641545522348,-1.76439051733908,-3.02612108478666,-2.19080717143657,-2.46409048041671
"AIP",1.0389017130346,0.715935751809867,0.820786214710238,0.201082819460139,1.12221096863419,0.657739366570727,0.649625062949326,0.651944497238857,0.893154915380409,0.851118896474256,0.493242570621542,1.02578032169503,0.754189165107933,0.847412323454051,0.61929076066603,1.10410498931703,0.608790252253036,0.499165290536591,1.14202467547706,0.462646334692632,0.597253100154039,0.952459602615056,0.801487671081115,0.228622509986316,1.22578169965014
"AIRE",-0.354245322265545,-1.00281728959854,-0.575729392813449,-0.323303646261419,-0.772649518402404,-0.0278126653153499,-0.40779389421736,-0.431683949308369,-0.822159139871724,-0.180898722225148,-0.575891727912655,-0.806451418309899,-0.453603349637833,-0.990841159828476,-0.53089135845687,-0.486208385173299,-0.763756643807594,-1.20605125269484,-0.57736766825842,-0.821624152432489,-0.286734538349733,-0.517401541141887,-0.532015278860917,-1.27581619773466,-0.160023536424424
"AP1",0.722121113065737,0.979003201699661,0.829168590258018,0.532556792331668,-0.517099984800786,1.92411434929245,-0.112088043826086,0.620157902954765,1.05926803270164,-2.07529954020923,1.18072430181821,-0.515342117384969,0.257601058252572,-0.0177403117664886,0.230033812489312,-0.0942767234628128,1.51945843142205,1.39342773308189,0.133171170199786,1.02450713474224,0.805497829534014,0.94643808368392,0.135856066278128,1.52351725842526,1.57262197894644
"APEX1",1.20431034752865,1.45895836100213,1.53972553455711,1.4291570494998,1.00636098356512,1.48712325502687,1.28509592710045,1.31752554331927,1.41854792239719,1.08577036725584,1.53878034610615,1.3892754773924,1.38245747893462,1.40219309165843,1.71720103913011,1.42568119792766,1.38298358044163,1.53152357164879,1.71316551094418,1.20078881409059,1.46355079344905,1.37874765893335,1.20209330125533,1.30592448002362,1.61903130928701
"AR",4.01213226172597,5.01172557866525,4.83229145170696,4.86435288177091,4.10153743522595,4.88453517650363,4.1885608849516,4.44765078454227,4.14231411177164,4.39025800828013,3.98404795405866,4.00411376867063,4.6852483940409,4.35732949481824,4.41285380823554,4.75203906030729,5.05068015710766,4.14639259785726,3.8103430519809,4.44412922474556,4.51712382706235,5.01235922802902,5.08946078844455,4.45119020517817,4.85787109272155
"ARID1A",0.872967133370874,1.5240835902195,1.11653642169646,0.906199053020825,1.30110348100727,1.30090927707841,1.72217122192072,1.64761115741358,1.93703980551055,1.23789880116366,0.171098602445858,2.00497831383036,1.85065897719431,1.46535733024985,1.58553151629349,1.46521613398608,1.37199492939853,1.29945957437231,1.80251717995071,1.46188986128563,1.37396827235675,1.58007629951426,1.14106883143767,1.00399601763975,1.03669462800997
"ARID1B",0.526961204238845,0.779205389212271,0.595096385974042,0.428762823300707,0.335715161771265,0.680364526444597,0.505388403336695,0.887547957620457,1.01834979518662,0.0234493314356024,0.883005555554344,0.398816762686818,0.755119677605261,0.890741036098687,1.06745944183578,0.637623314660366,0.704336298384634,0.49266385985069,0.705597541153494,-0.109439612050485,1.02893983661817,0.344442469215106,0.598031697439451,0.923529473883825,0.978708993396765
"ARID3A",0.294847359029082,0.500466797849888,0.712777248831369,0.473350487449455,1.04503391392564,0.772639491647362,0.645918566809218,-0.0777821317901372,0.512736487751499,0.343805315071584,0.788841778750385,0.504409327658694,0.600898902504426,0.980496537345948,0.780581711168743,0.727851609602239,0.733565870746623,1.02416965389108,0.902795167957141,0.603376929051721,-0.165966276126748,0.484623152438071,0.172618385626942,0.475125670441939,1.11023286496398
"ARID3B",0.533023125421489,0.468758059426748,0.471421116625219,0.650334724206057,0.780141630043261,0.437014868641491,0.476967428156449,0.161113887414962,0.536099541874273,0.738779668426655,0.528205969837653,0.523206452302036,0.578456343029537,0.681742002761536,0.484870815635026,0.550124169496924,0.559580079468898,0.76443649846521,0.518815899521971,0.542444233634733,0.671002394370048,0.648530890113709,0.421125870438407,0.72197331713513,0.848134027969189
"ARID4A",1.34446001822113,0.921893377608394,0.868050875961126,1.11685663840631,1.23544224452577,0.701139289364596,1.04089723440712,0.976383146385897,0.874566157657526,0.897720674772651,0.994321323762038,0.956052595071903,0.879350392717598,1.05430440039133,1.01913241168205,1.12662750866465,0.81063744730634,1.18213096397497,1.03625064635532,1.02210667913494,1.06587103552309,1.0880340294409,0.915020668800455,0.829981956021333,0.711140334303701
"ARID4B",-0.374550461949542,-1.32871861618274,1.2030912308818,-0.33392112406403,-0.222342650224121,-0.149843920832831,-1.03561006244216,-0.972557682260396,-1.40617679046712,-0.733164148958939,-0.576091946323979,-0.698669719193339,0.146017546499168,-0.694403748772619,-0.272652469522371,-0.283853627265913,-1.26966679777603,-0.494365233657844,-0.6261031496976,-0.792614820422455,-1.01635547189391,-0.571936689816652,-1.1242098045604,-1.37066909444783,-0.197563252421165
"ARID5B",0.493275413621926,0.677221192397697,0.121556057801108,0.659760388090467,1.66292392035919,0.235840687362102,1.14449120433157,1.40340616323246,1.05426393050446,0.743793321796759,0.525210273244089,1.34994392568714,1.53343067462336,0.930314544965672,1.41754738897804,1.56408238948489,0.815590389833293,0.236699200452087,0.804112969989331,0.489342399293334,0.897645078592099,0.819979514539662,0.974746545489453,1.26956449255769,1.14304077543565
"ARNT",-0.0359237278811245,1.06848734736522,0.700270886060116,-0.317664022948825,0.200569989025039,0.0274419908051883,0.436133540265284,0.552499639206094,0.0584579300275722,0.201860568632159,0.49732340112603,0.351250625349492,0.909432469649875,0.355824530333952,0.0892344185743588,-0.0827287551495598,0.948357738245817,0.835087606309254,-0.0334003085680287,0.607725961925551,0.387976081620437,0.419072961658565,0.609109421840066,0.0590264667563725,0.208257511893374
"ARX",-1.30724890164562,-1.20124216161955,-1.93960269072602,-1.58400921286551,-1.49907699851816,-2.34816368579517,-1.03504110967965,-0.578590333811345,-0.858778061764809,-1.33237504236968,-1.71099959972,-1.31867531879122,-0.991986632454716,-1.78536788531113,-1.47922480678838,-2.02248311953193,-0.909994395206561,-1.41850085606929,-0.948516994343791,-1.91517709349442,-0.521189780327225,-1.49531467078946,-0.928802856115792,-1.48768728790298,-1.0096352634362
"ASCL1",-1.60993745775972,-1.88109895658236,-2.15044198567246,-1.69986831267962,-1.86624477424827,-2.1883568643421,-1.83211884972616,-1.74152361291688,-1.48500172216785,-1.51381662900557,-1.45890498990783,-2.05708885789474,-1.72024594531414,-1.9356509100999,-1.7724655686,-2.14916797757337,-1.92278424053851,-1.33282491013141,-2.10470703171131,-2.6489273631803,-1.08861674352623,-2.13186464674139,-1.77251851838865,-1.80855483662992,-1.73874738876745
