"Cell_subgroups","Methods-signatures"
"B.cells_Subgroup.1.Iteration.1","Quantiseq_B.cells
CBSX_BPRNACanProMet_B.cells
CBSX_DWLS.NBAtlas.scRNAseq_B.cells
CBSX_CCLE.TIL10_B.cells
CBSX_TIL10_B.cells
DeconRNASeq_DWLS.NBAtlas.scRNAseq_B.cells
Epidish_DWLS.NBAtlas.scRNAseq_B.cells"
"B.cells_Subgroup.2.Iteration.1","DWLS_BPRNACan_B.cells
CBSX_CBSX.Melanoma.scRNAseq_B.cells
DeconRNASeq_TIL10_B.cells
DWLS_MOMF.NBAtlas.scRNAseq_B.cells"
"B.cells_Subgroup.3.Iteration.1","CBSX_CBSX.HNSCC.scRNAseq_B.cells
DWLS_CBSX.HNSCC.scRNAseq_B.cells"
"B.cells_Subgroup.1.Iteration.2","Epidish_TIL10_B.cells
B.cells_Subgroup.1.Iteration.1
B.cells_Subgroup.2.Iteration.1"
"B.naive.cells_Subgroup.1.Iteration.1","DeconRNASeq_LM22_B.naive.cells
CBSX_LM22_B.naive.cells
DWLS_LM22_B.naive.cells"
"B.naive.cells_Subgroup.1.Iteration.2","Epidish_LM22_B.naive.cells
B.naive.cells_Subgroup.1.Iteration.1"
"Macrophages.cells_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_Macrophages.cells
Epidish_CBSX.HNSCC.scRNAseq_Macrophages.cells
CBSX_CBSX.Melanoma.scRNAseq_Macrophages.cells
CBSX_CBSX.HNSCC.scRNAseq_Macrophages.cells"
"Macrophages.cells_Subgroup.2.Iteration.1","DeconRNASeq_CBSX.Melanoma.scRNAseq_Macrophages.cells
Epidish_CBSX.Melanoma.scRNAseq_Macrophages.cells"
"Macrophages.M0_Subgroup.2.Iteration.1","DeconRNASeq_LM22_Macrophages.M0
Epidish_LM22_Macrophages.M0
DWLS_LM22_Macrophages.M0
CBSX_LM22_Macrophages.M0"
"Macrophages.M0_Subgroup.1.Iteration.2","DWLS_BPRNACan_Macrophages.M0
DWLS_BPRNACan3DProMet_Macrophages.M0
DWLS_BPRNACanProMet_Macrophages.M0"
"Macrophages.M1_Subgroup.1.Iteration.1","DeconRNASeq_CCLE.TIL10_Macrophages.M1
Epidish_TIL10_Macrophages.M1
DWLS_TIL10_Macrophages.M1
DWLS_CCLE.TIL10_Macrophages.M1"
"Macrophages.M1_Subgroup.2.Iteration.1","CBSX_LM22_Macrophages.M1
DWLS_LM22_Macrophages.M1"
"Macrophages.M1_Subgroup.1.Iteration.2","CBSX_TIL10_Macrophages.M1
Macrophages.M1_Subgroup.1.Iteration.1"
