"","DeconRNASeq_CBSX.Melanoma.scRNAseq_B.cells","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_B.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_B.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_B.cells","CBSX_MOMF.NBAtlas.scRNAseq_B.cells","B.cells_Subgroup.3.Iteration.1","B.cells_Subgroup.1.Iteration.2","B.naive.cells_Subgroup.1.Iteration.2","Macrophages.cells_Subgroup.1.Iteration.1","Macrophages.cells_Subgroup.2.Iteration.1","Macrophages.M0_Subgroup.2.Iteration.1","Macrophages.M0_Subgroup.1.Iteration.2","DeconRNASeq_BPRNACanProMet_Macrophages.M1","CBSX_CCLE.TIL10_Macrophages.M1","Macrophages.M1_Subgroup.2.Iteration.1","Macrophages.M1_Subgroup.1.Iteration.2","DeconRNASeq_BPRNACan_Macrophages.M2","Epidish_TIL10_Macrophages.M2","CBSX_TIL10_Macrophages.M2","DWLS_TIL10_Macrophages.M2","CBSX_LM22_Macrophages.M2","Macrophages.M2_Subgroup.1.Iteration.1","Macrophages.M2_Subgroup.1.Iteration.2","Quantiseq_Monocytes","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_Monocytes","CBSX_CCLE.TIL10_Monocytes","DeconRNASeq_LM22_Monocytes","Epidish_TIL10_Monocytes","CBSX_TIL10_Monocytes","DWLS_TIL10_Monocytes","Monocytes_Subgroup.1.Iteration.1","Monocytes_Subgroup.1.Iteration.2","Monocytes_Subgroup.2.Iteration.2","Monocytes_Subgroup.3.Iteration.2","DeconRNASeq_TIL10_Neutrophils","Quantiseq_NK.cells","CBSX_TIL10_NK.cells","CBSX_MOMF.NBAtlas.scRNAseq_NK.cells","NK.cells_Subgroup.1.Iteration.1","NK.cells_Subgroup.3.Iteration.1","NK.cells_Subgroup.1.Iteration.2","DeconRNASeq_LM22_NK.activated","CBSX_LM22_NK.activated","NK.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_NK.resting","CBSX_LM22_NK.resting","DWLS_LM22_NK.resting","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD4.cells","DWLS_TIL10_CD4.cells","CD4.cells_Subgroup.3.Iteration.1","CD4.cells_Subgroup.1.Iteration.2","CD4.cells_Subgroup.2.Iteration.2","CBSX_LM22_CD4.memory.activated","DeconRNASeq_LM22_CD4.memory.resting","Epidish_LM22_CD4.memory.resting","CBSX_LM22_CD4.memory.resting","DWLS_LM22_CD4.memory.resting","CD4.naive_Subgroup.1.Iteration.1","DWLS_BPRNACan_CD8.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","Epidish_CCLE.TIL10_CD8.cells","CBSX_LM22_CD8.cells","DWLS_LM22_CD8.cells","CBSX_TIL10_CD8.cells","CD8.cells_Subgroup.1.Iteration.1","CD8.cells_Subgroup.2.Iteration.1","Quantiseq_T.cells.non.regulatory","CBSX_LM22_T.cells.helper","DWLS_LM22_T.cells.helper","T.cells.helper_Subgroup.1.Iteration.1","Quantiseq_Dendritic.cells","Epidish_CBSX.HNSCC.scRNAseq_Dendritic.cells","CBSX_CBSX.HNSCC.scRNAseq_Dendritic.cells","CBSX_CCLE.TIL10_Dendritic.cells","CBSX_TIL10_Dendritic.cells","DWLS_TIL10_Dendritic.cells","Dendritic.cells_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Dendritic.activated.cells","DeconRNASeq_LM22_Dendritic.resting.cells","DeconRNASeq_BPRNACan_Cancer","CBSX_CCLE.TIL10_Cancer","Cancer_Subgroup.1.Iteration.1","Cancer_Subgroup.1.Iteration.3","CBSX_MOMF.NBAtlas.scRNAseq_Endothelial","Endothelial_Subgroup.1.Iteration.1","Endothelial_Subgroup.2.Iteration.1","Endothelial_Subgroup.3.Iteration.1","Endothelial_Subgroup.1.Iteration.2","DWLS_LM22_Plasma","Plasma_Subgroup.1.Iteration.1","Plasma_Subgroup.2.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_Myocytes","Fibroblasts_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Mast.resting.cells","CBSX_LM22_Mast.resting.cells","DWLS_LM22_Mast.resting.cells","CAF_Subgroup.1.Iteration.3","CBSX_MOMF.NBAtlas.scRNAseq_Neuroendocrine.cells","Neuroendocrine.cells_Subgroup.1.Iteration.1","CBSX_DWLS.NBAtlas.scRNAseq_Schwann.cells","CBSX_MOMF.NBAtlas.scRNAseq_Schwann.cells","DWLS_MOMF.NBAtlas.scRNAseq_Schwann.cells","Schwann.cells_Subgroup.1.Iteration.1","Neuroblasts_Subgroup.1.Iteration.1","Neuroblasts_Subgroup.2.Iteration.1","cycling.Neuroblasts_Subgroup.1.Iteration.1","DeconRNASeq_Jansky_signatures_reduced_cycling.SCPs","CBSX_Jansky_signatures_reduced_cycling.SCPs","cycling.SCPs_Subgroup.1.Iteration.1","CBSX_Jansky_signatures_reduced_connecting.Chromaffin.cells","connecting.Chromaffin.cells_Subgroup.1.Iteration.1","DeconRNASeq_Jansky_signatures_reduced_cycling.SCPs.1","CBSX_Jansky_signatures_reduced_SCPs","CBSX_Jansky_signatures_reduced_cycling.SCPs.1","SCPs_Subgroup.1.Iteration.1","SCPs_Subgroup.2.Iteration.1","DeconRNASeq_Jansky_signatures_reduced_Chromaffin.cells","CBSX_Jansky_signatures_reduced_connecting.Chromaffin.cells.1","CBSX_Jansky_signatures_reduced_Chromaffin.cells","Chromaffin.cells_Subgroup.1.Iteration.1","Chromaffin.cells_Subgroup.2.Iteration.1"
"NB001",0.0694658775181421,0.338658412020023,0.869650643686758,0.520817679583936,0.0276588601020029,0.0598452275092743,0.253681127551272,0.322887216836001,0.0225138771685604,0.100480103840167,0.0406632059756405,0.0393667570176175,0.103110253797534,0,0.0403541345810213,0.00042849290930666,0.0619783282283668,0.0716065382693346,0,0.100983482761138,0.0986371420808622,0.0324628776116046,0.116232272657192,0.0633208882513939,0,0,0,0.0765571625688193,0,0.00212987571032125,0.0172434730587184,0.0440549991253035,0.0140875698836676,0.0315850866625424,0,0.0854367287172046,0,0.038250616976989,0,0.108978525452827,0.0401212547845973,0,0,0.0186330145584447,0.0118377901880556,0.0544752314200803,0.0503465096521456,0.0655850796086185,0,0,0.0929522010130096,0.0874603945414243,0.228789213834719,0.169874343887316,0.192753942359817,0.32087939688996,0,0.0927263822318238,0.124110536407679,0.175348937543568,0.0782561824451696,0.0694275809845663,0.0449613813458978,0.0428889617718178,0,0.0333725909961243,0.0779335858165945,0.111777738012611,0,0.0608897530298998,0.26832075824268,0.00055544962433526,0.104827049067894,0.0780649256791182,0.0502320096027656,0.0238856547151707,0.0112937982578879,0.0248595471904128,0.221079717083406,0.113048359627985,0.0285608470906299,0.0287083957925279,0,0.364110100834278,0.701710704187549,0.627183939199469,0.0581610298512937,0.604854984160145,0.136851223524469,0.115580291754297,0.0568997122149498,0.353219782700512,0.0119893307457686,0.0361222007315746,0.0587511384283188,0.0606925538684637,0.0459958403047835,0,0,0.0254663125481642,0.210246768197721,0.0328256495958549,0.415015340677127,0.0326848879792186,0.187611072916215,0.048832963312772,0.0247056151182253,0.275675160103361,0.587901099895716,0.587901099895716,0.23783869837063,0.0663096924329002,0.13387365481484,0,0.139882195926176,0.23783869837063,0,0.0663096924329002,0,0.13387365481484,0.263626388700169,0,0.0701140475680229,0.139882195926176,0
"NB002",0,0.563200378425345,0.867701756728265,0.825663098966706,0,0.0796005097496174,0.0623124624794148,0.242506843747332,0.0444765096576527,0.183984694765461,0.0224665593396988,0.0663829766410162,0.0708044942275848,0,0.0623931621549312,0,0.0894433223228282,0.172397671842124,0.202361402386334,0.253031766666059,0.066649141843076,0.046588404745207,0.126512471320553,0,0,0.0854760313031815,0.041095027261436,0.119683642601699,0,0,0.0407848674805787,0.0585568932046955,0.0208588274074464,0.0672489881911526,0,0.131011066477422,0,0.123218100987934,0,0.0881912456169824,0.069276203102789,0,0.0342194643155749,0.0246155357369585,0.0348474565589589,0.101677933168585,0.059978203449646,0.092566253494259,6.29914309944866e-05,0,0,0,0.397619592692505,0.0968348499804189,0.131619066744079,0.437518976410453,0,0.0971296581960664,0.193105876844684,0.217790568739539,0.0891302128061105,0.0457170146815282,0.0133041822595954,0.132298243271735,0,0,0.133379088708018,0.0750714329189924,0,0.0733669557713961,0.408034954452914,0.0651286427339086,0.127852654602908,0.114258744710751,0.11732415669709,0.0389226707087413,0,0,0.0883394732482055,0.123457070668709,0.0308772748520637,0.0178612712258772,0.0543676689504106,0.394239915071693,0.754379401233403,0.756089487419144,0.11353551785642,0.551172720238628,0.213639135100223,0.123509491872667,0.0323540739703797,0.324274894334909,0.00505758967063461,0.0289363216865705,0.0868092600759325,0.0783591823826699,0.0050425358118441,0.0165727774315559,0.0881325595295247,0.0286017698423413,0.220730591614368,0.0384597934725882,0.553971010462086,0.00894653504001074,0.219175608182665,0.0477588020839309,0.061068432249178,0.374322722311833,0.170391243542559,0.170391243542559,0.25673703589668,0.18384052515093,0.168281326543276,0.271445508994678,0.17580183250052,0.25673703589668,0,0.18384052515093,0,0.168281326543276,0.261820408260318,0.271445508994678,0,0.17580183250052,0
"NB003",0,0.469031369915936,0.504366555125196,0.452836267714752,0,0.00091170791580509,0,0.120660368859884,0.0462759266059191,0.24257943476591,0,0.0739298100912418,0.0708145192895072,0,0,0.0815652556135925,0.116063705732916,0.335247572604966,0.292419085454804,0.255620516536331,0.363325119774661,0,0.214282992337219,0,0,0.0587595146944422,0.0694582581267951,0.664752427395034,0,0.384557932132237,0.0745478195992544,0.396133746657906,0.0865918840452524,0.0454184884449708,0.0296962666568724,0.0514609262385807,0.0285677390632944,0,0,0.0678471895607715,0.122529381359959,0.0645750360017357,0.0662689126108241,0.158966552675428,0,0,0,0.101225042792191,0.333246470397463,0,0.0169568700598016,0,0,0,0.0447433385091813,0.0112159437556284,0,0,0.106177634147759,0.0202327901393908,0.158439059224557,0,0,0.495633444874804,0,0.100779246046952,0.013974635598215,0.0525615588025766,0,0.0622005084499021,0.147116081975973,0.106005322700339,0.0981651923749176,0.186087788667962,0.0323330888356219,0.0591135957606156,0,0,0.46332110545214,0.0725899784617173,0,0.0668822821290683,0.0336801752639117,0.419894214690776,0.941240485305558,0.859029335178206,0.0901462909281431,0.62941648665029,0.347873077428257,0,0.0867631944449534,0.345322802188334,0.110660948003568,0.120392950571041,0.0955617044930874,0.100490546036539,0.035757140636445,0.111672735678744,0,0.0358294935536558,0.476640745376303,0.0662030190305534,0.60631264215196,0.0239864588616408,0.243398214787612,0.0617365730449054,0.0669021766288856,0,0.752114603077237,0.752114603077237,0.288826502709571,0.0929056808570257,0.182303381101575,0.154979716065737,0,0.288826502709571,0,0.0929056808570257,0,0.182303381101575,0.243666001041789,0.154979716065737,0,0,0.122421324768648
"NB004",0,0.511785766220769,0.61512329439382,0.346819671755851,0,0.0384305041318347,0.0235594493050354,0.15877989187757,0.0543473343943986,0.212448586515242,0,0.0936762695730413,0.0457452640489086,0,0.0339655845041023,0,0.0834119425119883,0.507062732192413,0.321105128427135,0.358699696827171,0.254429671444251,0.0861965755546803,0.147634638486738,0,0.0750149700800495,0,0.0964218169233805,0,0.0331145169366266,0,0.0369943372809243,0.2862264068911,0,0.088069009794408,0,0.133564131905612,0,0.0340510708260375,0,0.0691269769442379,0.16266772674188,0.0222914576671274,0.0227025502319941,0.046268079097253,0.0429314005337877,0.0732553572049708,0.157289261477005,0.112543258733963,0.355094098093125,0,0.30414557964741,0,0.154336688842796,0,0.0596109701529502,0.00602934370992725,0,0.0484699661701112,0.18025998108125,0.232021224964556,0.172184887874115,0,0,0.309861735526131,0,0.120533816258785,0.171745795384189,0.104402619533725,0,0.0640503716042855,0.384013578480644,0.0184388260926872,0.0570237833200979,0.100651779732598,0.133637152966546,0.0312865803529553,0,0.053671628899659,0.541377735102514,0.329750658802446,0.0871609098331028,0.0397922507311362,0.0384358790130965,0.450180076880412,0.884847986149453,0.845283696711565,0.0599676620144171,0.470289608674086,0.159052512847729,0.0181260252288304,0.0487103363463363,0.362806121627847,0.00900468637821346,0.0523255820571472,0.0681391098924678,0.0777107308246769,0.108859634053414,0.0925863510355758,0.0597963324091253,0.0423043829595609,0.468186216837364,0.0333115699729461,0.53651107376065,0.0585660724063382,0.170745166757699,0.0819898049545674,0.0745052253809681,0.500383126797917,0.328057087247575,0.328057087247575,0.260333670484574,0,0,0.186790075450293,0,0.260333670484574,0.100322471200708,0,0,0,0.239283202717508,0.186790075450293,0.04311417770251,0,0.140438271590831
"NB005",0,0.555330811425472,0.856476650050297,0.44499898709485,0,0,0.00967443382054575,0.170230515059029,0.0309933565432418,0.190173863794593,0.00558131993975085,0.0675356419739574,0.063854221114607,0,0.0115576666390363,0.0184090557699374,0.100376743043726,0.427294425693497,0.228962841015187,0.451966576679229,0.597012641360922,0.0289629495860221,0.31586139659821,0,0.0577448244354844,0,0.0559276613536082,0.0994757690409781,0,0,0.0147892576300989,0.307210979257035,0.00592952147746752,0.0152715631052566,0.0182638843319074,0.0466159850090666,0,0,0,0.0530664307923814,0.122187977860386,0.0369303282189808,0.0401442119956001,0.0962917220590976,0.0257566312260017,0,0,0.109247447113491,0.31832850286462,0.0857785255142181,0.161320273425521,0,0,0,0,0.000797533215302432,0,0,0.1442222409521,0,0.0384398323727687,0,0,0,0,0.157638132862447,0.0883395178111244,0.182250708606815,0,0.045575674154904,0.159244133585912,0.0362877659917063,0.0123489375848126,0.103168440108619,0.0392444914793218,0.0387539906159193,0.0074450552479825,0.0451934439210056,0.588786450377998,0.377680885055311,0.0427107260184121,0.0539974999109633,0.0434711950602043,0.466005339894222,0.917947196812112,0.877681424439211,0.0617598587157113,0.380528704407566,0.212779869805374,0.0150381244043389,0.0814787881423622,0.344626798822058,0.0370302905678454,0.0746911052740919,0.0777119949087015,0.204493371804554,0.201965378787148,0.0999373994190008,0.00442237374561334,0.146089046396806,0.553783367649919,0.0272708294924329,0.461491216508928,0.067775836802,0.274763886210293,0.111227311139983,0.0810056109071785,0,0.817688669776598,0.817688669776598,0.32490488927081,0,0.0413065849685139,0.138262827160006,0.0554138225165285,0.32490488927081,0,0,0,0.0413065849685139,0.288417527070136,0.138262827160006,0,0.0554138225165285,0.074344625415908
"NB007",0,0.253693286374232,0.750559647060396,0.348377829466562,0,0.000830614965166665,0.0695184681594257,0.160906488715628,0.0415032807248659,0.159653656581355,0.00959504201583706,0.0900592100396246,0.0763501711395156,0,0.111481603011384,0.0409395396507457,0.0567845385972922,0.188944214131117,0.039387198347666,0.196192785332074,0.106068196736002,0.107571932687363,0.134874235126316,0,0,0,0.0433373736382162,0.0788119710170273,0.00365651144750578,0,0.0579270797393295,0.045875784116322,0.0116455899434794,0.0727537244493408,0,0.113403644022109,0.0434802783259663,0.0593160962538796,0.0542343305198465,0.127539366961994,0.144600028982033,0.0180047721881331,0,0.0424710566793702,0.0505896640545055,0.0568993602890464,0.0305400929470738,0.0574289796031963,0,0.0142634647255233,0,0.167450209576091,0,0.0483129848183712,0.135862194663684,0.287742492075724,0.00026632493576167,0.0855374402101181,0.155237821836985,0.298663176715901,0.181701561606388,0,0.136401615245667,0.0677266786379901,0.0751785740239089,0.130510840508872,0.0812192439886593,0.336205840452235,0.324032355545232,0.156428504446268,0.348090469967507,0.0896852720981746,0.104816539438644,0.128318173660797,0.114870946810474,0.00315569460062632,0.0547826860272008,0.125045114733024,0.133609742858826,0.182059139841586,0.0949479643400949,0,0.0191007389812615,0.416371737728972,0.607531338509024,0.788442949167679,0.0488903439255246,0.436271678869259,0.196577612301078,0.062460323008669,0.0475340605374138,0.382338492106341,0.00768454549343961,0.025875728106394,0.0545051004020204,0.04252607439152,0.180544391272123,0,0.0201131531045896,0.0154708658944531,0.326861545106306,0.0192862365102563,0.405064530478713,0.0203451964968104,0.179032427162702,0.0771171320375335,0.0716694393847284,0.724207638546716,0,0,0.277203550802696,0.0481847634992622,0,0,0.0311696677744768,0.277203550802696,0,0.0481847634992622,0.0345269037489713,0,0.276236685334863,0,0.136112895466078,0.0311696677744768,0.101131843569406
"NB008",0,0.37222829542753,0.942412354629457,0.486047765191053,0,0,0,0.146705470372571,0.0248466171138574,0.214945976159422,0.0832592337638618,0.0873355877479851,0.105348236886043,0,0,0,0.10243306647274,0.174041152207672,0.203457434024366,0.215721477978407,0.268407992226761,0.00892487393561978,0.152930593414994,0.00021506772623236,0,0.00904999500949476,0.0633499397764617,0.707340939907248,0,0,0.0447939666292326,0.393661087061881,0.0142226842918999,0.0605363971251687,0.0807052267418469,0.0291880237032236,0,0,0,0.0535347138349347,0.100198978806996,0.0557852697650157,0.0512930329058744,0.098957163646395,0.0102229527459058,0,0,0.094905496038706,0.408902502650939,0.0575876453705428,0,0,0,0,0,0.0177022314425649,0,0,0.0959086412968364,0.0823015575268853,0.0931810124138455,0,0,0,0,0.0448193358292888,0.160497506792243,0.293998135869322,0,0.0824469514596705,0.112440922624686,0.0836859064282172,0.119742912523655,0.172628473185561,0.0179283431708152,0.168712077141343,0.201395122205744,0,0.502544430106312,0.486541516785653,0.0464581241422184,0.0652437145340105,0.0240866304421362,0.417974675586823,0.97080908948225,0.865537718950375,0.1923151360804,0.668446109365472,0.569262824803917,0,0.119439555914493,0.317261932508312,0.0615034023395564,0.127639396959234,0.107934684695442,0.0999676097388945,0,0.113944596349031,0,0.0162254277957359,0.326735577344459,0.0841390819332668,0.636507610107136,0.0188998844038785,0.213196708795466,0.0418536136122337,0.0795251423015468,0,0.800846567629468,0.800846567629468,0.274128464778146,0,0.0052226154134915,0.199153432370532,0.135389556254164,0.274128464778146,0,0,0,0.0052226154134915,0.244886652259798,0.199153432370532,0,0.135389556254164,0
"NB009",0,0.559281875874818,0.565702197303937,0.343691453429714,0,0.0427760935674973,0.00216096389756614,0.161445071677058,0.0800999685453657,0.207994655972605,0.0239078281467347,0.077774666974261,0.0839313796386094,0.00738700567597581,0.0119884549043215,0.078343498941771,0.0986765953974739,0.41227271751973,0.280713481938051,0.605821654773006,0.347022550491514,0.0377397838213624,0.20758884252361,0,0.0281874794437832,0,0.0529810646743547,0.209182183122721,0,0,0.0286537464814105,0.320269713391407,0.0450225332674897,0.0467983591861163,0.00343052335547563,0.0690908484249575,0,0,0,0.0617343887472838,0.0956149044393698,0.0127236414304104,0.0493126090142844,0.0559869833275115,0.0334698740663987,0,0.0347739259995166,0.0905260383574839,0.297982068333,0,0.241461812091999,0,0,0,0,0.0127285058568874,0,0.0137013579920717,0.166964108703623,0.114421957580594,0.162131247661359,0,0,0.40611032325228,0,0,0.0282282537478061,0.130188350446003,0,0.0444320719241452,0.227114024590694,0.134891629625001,0.0677258616141712,0.148098533835628,0.0612655042506911,0.0479875544999265,0.054134571645402,0,0.432411169732404,0.317841566215086,0.0448188838678567,0.0778275330643343,0.039004547454969,0.43979560262722,0.956762799754929,0.866266779805606,0.102138407062706,0.421637129976255,0.211976103253002,1.41330450973699e-05,0.0743382574744324,0.309293892318762,0.0674604579796236,0.0968349586976865,0.0975605212365552,0.0785175788284728,0.104995244949342,0.0852111307953298,0.0161607822512069,0.0787028853923952,0.378425695654223,0.0581521011134032,0.522259732829392,0.00334026853769632,0.192716773578182,0.0543103980127288,0.0419755236531193,0.035050623389475,0.680509420140715,0.680509420140715,0.290716771842462,0.109626869121956,0.137735549999532,0,0,0.290716771842462,0,0.109626869121956,0,0.137735549999532,0.244986565900449,0,0.174813087347854,0,0.113508969141605
"NB010",0,0.423938829226629,0.560135207939633,0.753341486341229,0,0,0,0.156405059001918,0.017982529554408,0.213465157485042,0.0515549432850693,0.0812069172892775,0.0791635419428058,0,0.00482430799608036,0,0.101750716111002,0.287630896283359,0.37744626546346,0.475624169780361,0.242960596269697,0.00899751299033373,0.105304838343584,0,0.0228801593208147,0.00353523373454627,0.0501965067523555,0.712369103716641,0.164111412754806,0,0.0446520782275335,0.25532593765166,0.0131850569567595,0.013380146288049,0.0265933265765219,0.0525014694183698,0,0.0636005508391611,0,0.0475652961939116,0.1215453345129,0.0338834326219806,0.0464960402467271,0.105429207185527,0.0277047403116403,0,0,0.0990442495337446,0.371434987711395,0,0,0,0,0,0,0.0143937627079224,0,0,0.18393663306673,0,0.121506050856093,0,0,0.416984632739552,0,0.0877886998414321,0.108561319903306,0.25449875280055,0,0.0474453160945862,0.159885449823859,0.168158838206603,0.0844722863995576,0.173744777575201,0.0378509507065957,0.212868344471883,0.18970189508763,0,0.203943568981183,0.177245171894963,0,0.0614094084720517,0.0595190548202512,0.417076815255354,0.973406659297279,0.860529588148434,0.127058729003721,0.510356837106058,0.19782513901202,0,0.0344875134188452,0.277214962902527,0.0555068460830331,0.151718620902024,0.1171217547281,0.104245536194633,0.0123004259173936,0.11489234142501,0.0205103078521055,0.046807624272726,0.47280836787057,0.0758095025599308,0.61462435979341,0.032619420127848,0.284288995039092,0.0578118593025849,0.0785498564374428,0.038852866957189,0.804718174450877,0.804718174450877,0.248643469780067,0,0.0463139908436415,0.0675675193707546,0,0.248643469780067,0.0493548058330839,0,0,0.0463139908436415,0.242818036669327,0.0675675193707546,0.019031247598171,0,0.137069726231853
"NB013",0,0.433353318560858,0.575714180579734,0.362362264796414,0,0,0.0392763629388483,0.138662647234036,0.0211548862145083,0.165158004527919,0,0.0940122337004633,0.0534553586733023,0,0.0191810470336235,0,0.0929483806738097,0.386103539227791,0.299739147327083,0.358848961977069,0.241461346022121,0.136830638852541,0.132161903093179,0.132848075667431,0.0541952546340997,0,0.118988418115266,0,0,0,0.0214650646567859,0.232487144644314,0.0130040457294964,0.0717587978148727,0.0391186052859332,0.0587494709692433,0,0.0259444197074651,0,0.0462588288168146,0.104708681721402,0.0209021226437846,0.0334929605070277,0.0669084548087589,0.0121202859048002,0,0.0205712472846185,0.116468476504912,0.433142906428805,0.370090564786166,0.396116572123841,0,0,0,0,0.0128302866955732,0,0.11079698920656,0.259671263860353,0.312752884127152,0.351913849510661,0,0,0,0.0140360404392016,0,0,0.1961251955296,0,0.0920290428617434,0.156588642020294,0.0343894378370603,0.0441829671217813,0.110353190281078,0,0.0582794341935347,0.045161964583406,0.243380084674223,0.504135657143317,0.416865859950358,0.13510290742518,0.0518167337495518,0.0550110844359862,0.427154806272912,0.49666849770455,0.833029421378464,0.177027745133351,0.484228216300567,0.463077356651154,0.0217650528091151,0.122865692519014,0.367645614243797,0.0649159735812031,0.098087582207144,0.0964521691874544,0.0837328896154781,0.111499055813769,0.0847404044857095,0.0676432298607925,0.0649971670081742,0.259188424982311,0.0252639857545459,0.39380652241339,0.0989434825322701,0.261491963814149,0.113067205789822,0.106797291822125,0.489810387885072,0,0,0.104891549043006,0,0,0.00460440753620792,0.358689323303289,0.104891549043006,0.133711551815113,0,0.187042217202556,0,0.277853237065213,0.00460440753620792,0.0289420994788089,0.358689323303289,0
