source,target,weight
HIVEP3,LINC02810,23.286291889806122
MTF1,ARHGAP29-AS1,22.319458639478782
JUN,SGIP1,21.65980216768578
ID3,CELA3A,21.088190291578883
JUN,LINC02238,20.94092849211144
JUN,MAB21L3,20.37217061591104
HES4,TRNP1,19.98794675112662
JUN,AMPD1,19.6240780157014
JUN,LINC01672,19.44882810006393
ENO1,OLFML3,19.315706789947313
YBX1,SYPL2,18.953272423923593
JUN,WNT4,18.942841930005155
YBX1,VWA1,18.811963879544226
TAL1,RNF220,18.714942852493998
JUN,BSND,18.172046714243507
JUN,TSPAN1,17.814061025760243
JUN,IGSF21,17.744388803503906
GLIS1,FNDC5,17.574856390487994
YBX1,SLC2A7,17.432951348535045
RUNX3,CELSR2,17.385939643560086
JUN,KCNQ4,17.216380623493563
JUN,SLC2A5,17.023438287830416
YBX1,FOXD2,16.977415412473857
JUN,LINC01781,16.970716820005656
JUN,MROH7,16.893558734352705
JUN,PLA2G2D,16.54550286907019
ENO1,SCNN1D,16.414427381416033
HIVEP3,ALX3,16.40728782614015
JUN,LINC02607,16.231974816237827
MTF1,GPR3,15.806118921065677
JUN,GBP6,15.71831069150236
JUN,BRDT,15.631498452379379
MTF1,LINC01707,15.518823208239429
JUN,CROCC,15.516235594498225
TAL1,ARMH1,15.451256720689457
RUNX3,UTS2,15.435222248103186
YBX1,PPM1J,15.41308936974834
TAL1,NFIA-AS2,15.402368248811335
FOXJ3,DAB1-AS1,15.356927054818303
JUN,TLCD4,15.195174176009553
HIVEP3,C1orf146,15.105264962962709
ID3,LINC01685,15.091025719332306
JUN,BTBD19,15.074549243485277
JUN,LINC01144,15.0161465814384
FOXJ3,GJA9,15.002227373466697
JUN,CSF3R,14.842684357530722
JUN,GRHL3,14.624191158666685
FUBP1,LINC01756,14.50099407323633
JUN,PLK3,14.348558030186494
JUN,LIN28A,13.992418137292695
TFAP2E,FOXD2-AS1,13.92386176559456
JUN,CTRC,13.62112384543864
FOXJ3,EXTL2,13.549424072125744
JUN,PTCH2,13.548303811187662
JUN,LINC02780,13.500340134479211
GMEB1,MIR3659HG,13.472710438957602
YBX1,TENT5B,13.466068609981743
GMEB1,EPHB2,13.411933095772927
JUN,SMPDL3B,13.34117070369964
HIVEP3,PLEKHN1,13.332994772218846
JUN,PADI6,13.289188361967932
FOXJ3,LINC01712,13.252882582372528
ZNF691,PTPRF,13.245457331495695
JUN,PRKAA2,13.243279091928256
JUN,LINC02785,13.196410006995798
JUN,CELA2A,13.116620812245872
ZNF684,C1QC,13.047895806901119
ZNF684,NGF-AS1,13.035674273515069
FUBP1,PLA2G2C,12.958588311082426
JUN,NFYC-AS1,12.919703679214294
JUN,ATP1A1,12.907239223837829
JUN,SLC22A15,12.901479592064787
PAX7,KANK4,12.853807044570232
JUN,TEX38,12.78982565727837
MTF1,CLIC4,12.763238106598743
ID3,ROR1,12.709572022877097
RUNX3,LINC02801,12.672022706141831
ZNF683,CRYBG2,12.667660209362916
JUN,PTAFR,12.503093393049058
TFAP2E,RAB42,12.461902334740781
HES4,PLPPR4,12.434809922034454
ZNF684,ESPN,12.432384240240804
HIVEP3,MCOLN3,12.407455107343136
YBX1,KCND3,12.32595840132781
JUN,TMIGD3,12.321234736258099
NFYC,LINC01140,12.30694836464538
FOXJ3,ADORA3,12.297511339036236
JUN,LINC01307,12.263472026695302
JUN,TAS1R3,12.24648290307027
JUN,LINC01788,12.192789729275413
TFAP2E,MTOR-AS1,12.182577877622773
JUN,PADI4,12.149246427373548
YBX1,TMEM240,12.10007398790583
ID3,MYBPHL,12.098913641390828
JUN,FABP3,12.0520174344081
FOXJ3,SAMD13,11.939997288034574
JUN,ZBTB8B,11.933566771873888
HIVEP3,SERINC2,11.913215847663205
JUN,IFFO2,11.90782229749011
ENO1,INKA2-AS1,11.883495527520264
NFIA,LRRC38,11.833296053686965
JUN,CSF1,11.797706210472334
FUBP1,LNCTAM34A,11.763650243743783
JUN,CDA,11.760930842828344
RUNX3,KIF17,11.73043637732415
E2F2,MYBPHL,11.6963920129103
FUBP1,CCDC27,11.617466009798694
HES4,SFN,11.606351563445854
ENO1,LINC02606,11.596597062228147
YBX1,ALPL,11.592473199879317
ALX3,SDC3,11.558069085860922
FOXJ3,DNASE2B,11.52746871810692
JUN,DPYD,11.519600323287557
FOXJ3,SLC30A2,11.517420026476653
JUN,LRRC8D,11.459274487868258
FOXJ3,MYOM3,11.389715437388976
YBX1,PTPRU,11.372202554357699
GMEB1,VAV3-AS1,11.342766947171135
JUN,SLC6A9,11.32361346386059
E2F2,NGF,11.266472239199496
JUN,SNIP1,11.260280540532307
ZNF684,C1QA,11.247325362537053
JUN,TAF13,11.231099351817418
NFYC,HTR6,11.208677990717005
JUN,C1QTNF12,11.201523708611452
FUBP1,LINC02811,11.19063859510684
MTF1,KLHL17,11.175790488231762
TFAP2E,SYT6,11.170094053734827
